Category,Subcategory,Note,Amount,Hour,DayOfWeek,Payment Mode
subscription,55,365,-0.23052158458369232,15,2,2
subscription,55,365,-0.15598627279787,15,0,2
food,41,333,-0.1992480271910396,20,5,2
transportation,4,1006,-0.22661238990961072,20,5,1
household,2,563,5.368748253592504,20,5,2
transportation,4,724,-0.2214001303441686,18,5,1
subscription,55,365,-0.15598627279787,23,1,2
other,62,376,-0.22400626012688965,22,1,1
transportation,4,761,-0.2214001303441686,22,1,1
food,74,789,-0.23052158458369232,18,1,1
food,27,54,0.09133544358235857,12,1,2
transportation,81,76,-0.22400626012688965,9,1,1
transportation,4,51,-0.22400626012688965,9,1,1
apparel,46,322,-0.21436357993082175,20,3,1
education,75,455,-0.23130342351850863,20,3,1
food,18,382,-0.1205429077528636,0,6,0
food,49,282,-0.21618787077872648,0,6,1
food,74,151,-0.2219213563007128,0,6,1
food,53,616,-0.21566664482218226,0,6,2
food,68,17,-0.22921851969233178,0,1,1
food,41,56,-0.2135817409960054,0,0,2
subscription,60,592,-0.23130342351850863,0,6,1
food,7,943,-0.22270319523552914,0,6,1
food,53,486,-0.2250487120399781,0,6,1
subscription,59,1011,-0.1825687965816248,0,6,0
food,76,534,-0.10412429012172092,0,3,1
food,53,616,-0.21566664482218226,0,3,2
beauty,33,861,-0.2214001303441686,0,3,1
household,80,493,0.048594915145733185,0,4,0
transportation,6,584,-0.22921851969233178,0,4,1
subscription,50,1011,-0.10021509544763933,0,4,2
food,49,502,-0.12236719860076833,0,4,2
food,53,616,-0.21566664482218226,0,4,1
family,65,1011,-0.07806299229451032,0,2,1
household,43,910,-0.224788099061706,0,4,1
food,53,616,-0.21566664482218226,0,4,2
food,74,237,-0.22400626012688965,0,1,2
food,27,587,-0.16145914534158423,0,1,2
food,53,616,-0.21566664482218226,0,0,1
health,52,523,-0.22322442119207334,0,0,2
health,52,815,-0.20263599590857698,0,0,2
family,65,1011,-0.16667140490702634,0,0,1
money transfer,37,1011,2.371699003463286,0,0,2
food,74,168,-0.21566664482218226,18,1,1
household,43,910,-0.19142963784287642,18,1,1
subscription,77,348,-0.18856289508188326,9,1,0
food,7,943,-0.22270319523552914,9,1,1
food,53,616,-0.21566664482218226,9,1,1
gift,62,939,-0.10412429012172092,6,1,1
food,5,111,-0.22400626012688965,18,3,2
food,18,502,-0.12679761923139413,21,2,0
family,65,1011,-0.10412429012172092,10,2,1
household,43,910,-0.15754995066750263,18,0,1
food,74,660,-0.22661238990961072,20,4,1
food,53,616,-0.21566664482218226,20,4,2
family,65,1011,0.02618219901433207,11,4,1
food,49,282,-0.21618787077872648,18,6,1
subscription,77,720,-0.19351454166905327,22,5,0
household,43,514,-0.22452748608343387,18,1,2
maid,62,1011,-0.10412429012172092,15,1,1
food,85,1011,-0.23182464947505285,21,3,1
household,43,910,-0.18491431338607375,12,3,1
food,53,616,-0.21566664482218226,12,3,2
food,41,655,-0.19273270273423695,23,2,1
food,17,360,-0.22921851969233178,21,2,1
food,18,907,-0.21618787077872648,20,0,2
household,44,430,-0.23078219756196441,20,4,1
food,22,167,-0.2250487120399781,9,4,2
food,53,616,-0.21566664482218226,9,4,2
food,53,616,-0.21566664482218226,9,5,1
education,75,139,-0.22895790671405966,22,1,2
apparel,46,322,-0.21801216162663123,20,1,2
household,43,324,-0.1640652751243053,20,1,2
household,43,910,-0.16536834001566583,18,1,2
household,43,878,-0.11715493903532621,18,1,0
food,74,710,-0.21618787077872648,19,3,1
food,79,52,-0.22921851969233178,19,3,1
household,44,993,-0.02620100961836123,19,3,0
family,51,253,-0.09760896566491827,14,3,0
transportation,6,894,-0.23182464947505285,14,3,1
transportation,81,745,-0.22921851969233178,14,3,1
food,49,282,-0.21618787077872648,14,3,1
household,43,910,-0.20654519058265855,22,2,2
food,32,739,-0.22400626012688965,22,2,2
food,7,541,-0.22270319523552914,6,2,2
food,53,616,-0.21566664482218226,6,2,2
health,45,414,-0.05200169446729972,20,0,1
subscription,59,1011,-0.1825687965816248,0,5,0
